Distribution of honor card value
Points, Hands, Probability
0, 2310789600, 0.003638961035
1, 5006710800, 0.007884415576
2, 8611542576, 0.013561194790
3, 15636342960, 0.024623636336
4, 24419055136, 0.038454383795
5, 32933031040, 0.051861933564
6, 41619399184, 0.065540961378
7, 50979441968, 0.080280871483
8, 56466608128, 0.088921893516
9, 59413313872, 0.093562275913
10, 59723754816, 0.094051148850
11, 56799933520, 0.089446804184
12, 50971682080, 0.080268651448
13, 43906944752, 0.069143318419
14, 36153374224, 0.056933231862
15, 28090962724, 0.044236791954
16, 21024781756, 0.033109185525
17, 14997082848, 0.023616948995
18, 10192504020, 0.016050844688
19, 6579838440, 0.010361729038
20, 4086538404, 0.006435356131
21, 2399507844, 0.003778671822
22, 1333800036, 0.002100427646
23, 710603628, 0.001119036936
24, 354993864, 0.000559033518
25, 167819892, 0.000264277651
26, 74095248, 0.000116682938
27, 31157940, 0.000049066574
28, 11790760, 0.000018567729
29, 4236588, 0.000006671650
30, 1396068, 0.000002198485
31, 388196, 0.000000611319
32, 109156, 0.000000171896
33, 22360, 0.000000035212
34, 4484, 0.000000007061
35, 624, 0.000000000983
36, 60, 0.000000000094
37, 4, 0.000000000006

Distribution of honor card vectors
Index, Aces, Kings, Queens, Jacks, Others, Value, Hands, Probability
38,0,1,2,2,8,9,4357488960,0.006862040809
39,0,1,2,3,7,10,801377280,0.001261984517
40,0,1,2,4,6,11,46747008,0.000073615763
41,0,1,3,0,9,9,1506292480,0.002372063489
42,0,1,3,1,8,10,1936661760,0.003049795915
43,0,1,3,2,7,11,801377280,0.001261984517
44,0,1,3,3,6,12,124658688,0.000196308703
45,0,1,3,4,5,13,6031872,0.000009498808
46,0,1,4,0,8,11,121041360,0.000190612245
47,0,1,4,1,7,12,133562880,0.000210330753
48,0,1,4,2,6,13,46747008,0.000073615763
49,0,1,4,3,5,14,6031872,0.000009498808
50,0,1,4,4,4,15,235620,0.000000371047
51,0,2,0,0,11,6,3604831776,0.005676779214
52,0,2,0,1,10,7,6100484544,0.009606857132
53,0,2,0,2,9,8,3389158080,0.005337142851
54,0,2,0,3,8,9,726248160,0.001143673468
55,0,2,0,4,7,10,50086080,0.000078874032
56,0,2,1,0,10,8,6100484544,0.009606857132
57,0,2,1,1,9,9,9037754880,0.014232380936
58,0,2,1,2,8,10,4357488960,0.006862040809
59,0,2,1,3,7,11,801377280,0.001261984517
60,0,2,1,4,6,12,46747008,0.000073615763
61,0,2,2,0,9,10,3389158080,0.005337142851
62,0,2,2,1,8,11,4357488960,0.006862040809
63,0,2,2,2,7,12,1803098880,0.002839465162
64,0,2,2,3,6,13,280482048,0.000441694581
65,0,2,2,4,5,14,13571712,0.000021372318
66,0,2,3,0,8,12,726248160,0.001143673468
67,0,2,3,1,7,13,801377280,0.001261984517
68,0,2,3,2,6,14,280482048,0.000441694581
69,0,2,3,3,5,15,36191232,0.000056992849
70,0,2,3,4,4,16,1413720,0.000002226283
71,0,2,4,0,7,14,50086080,0.000078874032
72,0,2,4,1,6,15,46747008,0.000073615763
73,0,2,4,2,5,16,13571712,0.000021372318
74,0,2,4,3,4,17,1413720,0.000002226283
75,0,2,4,4,3,18,42840,0.000000067463
76,0,3,0,0,10,9,1016747424,0.001601142855
77,0,3,0,1,9,10,1506292480,0.002372063489
78,0,3,0,2,8,11,726248160,0.001143673468
79,0,3,0,3,7,12,133562880,0.000210330753
80,0,3,0,4,6,13,7791168,0.000012269294
81,0,3,1,0,9,11,1506292480,0.002372063489
82,0,3,1,1,8,12,1936661760,0.003049795915
83,0,3,1,2,7,13,801377280,0.001261984517
84,0,3,1,3,6,14,124658688,0.000196308703
85,0,3,1,4,5,15,6031872,0.000009498808
86,0,3,2,0,8,13,726248160,0.001143673468
87,0,3,2,1,7,14,801377280,0.001261984517
88,0,3,2,2,6,15,280482048,0.000441694581
89,0,3,2,3,5,16,36191232,0.000056992849
90,0,3,2,4,4,17,1413720,0.000002226283
91,0,3,3,0,7,15,133562880,0.000210330753
92,0,3,3,1,6,16,124658688,0.000196308703
93,0,3,3,2,5,17,36191232,0.000056992849
94,0,3,3,3,4,18,3769920,0.000005936755
95,0,3,3,4,3,19,114240,0.000000179902
96,0,3,4,0,6,17,7791168,0.000012269294
97,0,3,4,1,5,18,6031872,0.000009498808
98,0,3,4,2,4,19,1413720,0.000002226283
99,0,3,4,3,3,20,114240,0.000000179902
100,0,3,4,4,2,21,2520,0.000000003968
101,0,4,0,0,9,12,94143280,0.000148253968
102,0,4,0,1,8,13,121041360,0.000190612245
103,0,4,0,2,7,14,50086080,0.000078874032
104,0,4,0,3,6,15,7791168,0.000012269294
105,0,4,0,4,5,16,376992,0.000000593676
106,0,4,1,0,8,14,121041360,0.000190612245
107,0,4,1,1,7,15,133562880,0.000210330753
108,0,4,1,2,6,16,46747008,0.000073615763
109,0,4,1,3,5,17,6031872,0.000009498808
110,0,4,1,4,4,18,235620,0.000000371047
111,0,4,2,0,7,16,50086080,0.000078874032
112,0,4,2,1,6,17,46747008,0.000073615763
113,0,4,2,2,5,18,13571712,0.000021372318
114,0,4,2,3,4,19,1413720,0.000002226283
115,0,4,2,4,3,20,42840,0.000000067463
116,0,4,3,0,6,18,7791168,0.000012269294
117,0,4,3,1,5,19,6031872,0.000009498808
118,0,4,3,2,4,20,1413720,0.000002226283
119,0,4,3,3,3,21,114240,0.000000179902
120,0,4,3,4,2,22,2520,0.000000003968
121,0,4,4,0,5,20,376992,0.000000593676
122,0,4,4,1,4,21,235620,0.000000371047
123,0,4,4,2,3,22,42840,0.000000067463
124,0,4,4,3,2,23,2520,0.000000003968
125,0,4,4,4,1,24,36,0.000000000057
126,1,0,0,0,12,4,5006710800,0.007884415576
127,1,0,0,1,11,5,9612884736,0.015138077905
128,1,0,0,2,10,6,6100484544,0.009606857132
129,1,0,0,3,9,7,1506292480,0.002372063489
130,1,0,0,4,8,8,121041360,0.000190612245
131,1,0,1,0,11,6,9612884736,0.015138077905
132,1,0,1,1,10,7,16267958784,0.025618285686
133,1,0,1,2,9,8,9037754880,0.014232380936
134,1,0,1,3,8,9,1936661760,0.003049795915
135,1,0,1,4,7,10,133562880,0.000210330753
136,1,0,2,0,10,8,6100484544,0.009606857132
137,1,0,2,1,9,9,9037754880,0.014232380936
138,1,0,2,2,8,10,4357488960,0.006862040809
139,1,0,2,3,7,11,801377280,0.001261984517
140,1,0,2,4,6,12,46747008,0.000073615763
141,1,0,3,0,9,10,1506292480,0.002372063489
142,1,0,3,1,8,11,1936661760,0.003049795915
143,1,0,3,2,7,12,801377280,0.001261984517
144,1,0,3,3,6,13,124658688,0.000196308703
145,1,0,3,4,5,14,6031872,0.000009498808
146,1,0,4,0,8,12,121041360,0.000190612245
147,1,0,4,1,7,13,133562880,0.000210330753
148,1,0,4,2,6,14,46747008,0.000073615763
149,1,0,4,3,5,15,6031872,0.000009498808
150,1,0,4,4,4,16,235620,0.000000371047
151,1,1,0,0,11,7,9612884736,0.015138077905
152,1,1,0,1,10,8,16267958784,0.025618285686
153,1,1,0,2,9,9,9037754880,0.014232380936
154,1,1,0,3,8,10,1936661760,0.003049795915
155,1,1,0,4,7,11,133562880,0.000210330753
156,1,1,1,0,10,9,16267958784,0.025618285686
157,1,1,1,1,9,10,24100679680,0.037953015830
158,1,1,1,2,8,11,11619970560,0.018298775490
159,1,1,1,3,7,12,2137006080,0.003365292044
160,1,1,1,4,6,13,124658688,0.000196308703
161,1,1,2,0,9,11,9037754880,0.014232380936
162,1,1,2,1,8,12,11619970560,0.018298775490
163,1,1,2,2,7,13,4808263680,0.007571907099
164,1,1,2,3,6,14,747952128,0.001177852215
165,1,1,2,4,5,15,36191232,0.000056992849
166,1,1,3,0,8,13,1936661760,0.003049795915
167,1,1,3,1,7,14,2137006080,0.003365292044
168,1,1,3,2,6,15,747952128,0.001177852215
169,1,1,3,3,5,16,96509952,0.000151980931
170,1,1,3,4,4,17,3769920,0.000005936755
171,1,1,4,0,7,15,133562880,0.000210330753
172,1,1,4,1,6,16,124658688,0.000196308703
173,1,1,4,2,5,17,36191232,0.000056992849
174,1,1,4,3,4,18,3769920,0.000005936755
175,1,1,4,4,3,19,114240,0.000000179902
176,1,2,0,0,10,10,6100484544,0.009606857132
177,1,2,0,1,9,11,9037754880,0.014232380936
178,1,2,0,2,8,12,4357488960,0.006862040809
179,1,2,0,3,7,13,801377280,0.001261984517
180,1,2,0,4,6,14,46747008,0.000073615763
181,1,2,1,0,9,12,9037754880,0.014232380936
182,1,2,1,1,8,13,11619970560,0.018298775490
183,1,2,1,2,7,14,4808263680,0.007571907099
184,1,2,1,3,6,15,747952128,0.001177852215
185,1,2,1,4,5,16,36191232,0.000056992849
186,1,2,2,0,8,14,4357488960,0.006862040809
187,1,2,2,1,7,15,4808263680,0.007571907099
188,1,2,2,2,6,16,1682892288,0.002650167485
189,1,2,2,3,5,17,217147392,0.000341957095
190,1,2,2,4,4,18,8482320,0.000013357699
191,1,2,3,0,7,16,801377280,0.001261984517
192,1,2,3,1,6,17,747952128,0.001177852215
193,1,2,3,2,5,18,217147392,0.000341957095
194,1,2,3,3,4,19,22619520,0.000035620531
195,1,2,3,4,3,20,685440,0.000001079410
196,1,2,4,0,6,18,46747008,0.000073615763
197,1,2,4,1,5,19,36191232,0.000056992849
198,1,2,4,2,4,20,8482320,0.000013357699
199,1,2,4,3,3,21,685440,0.000001079410
200,1,2,4,4,2,22,15120,0.000000023811
201,1,3,0,0,9,13,1506292480,0.002372063489
202,1,3,0,1,8,14,1936661760,0.003049795915
203,1,3,0,2,7,15,801377280,0.001261984517
204,1,3,0,3,6,16,124658688,0.000196308703
205,1,3,0,4,5,17,6031872,0.000009498808
206,1,3,1,0,8,15,1936661760,0.003049795915
207,1,3,1,1,7,16,2137006080,0.003365292044
208,1,3,1,2,6,17,747952128,0.001177852215
209,1,3,1,3,5,18,96509952,0.000151980931
210,1,3,1,4,4,19,3769920,0.000005936755
211,1,3,2,0,7,17,801377280,0.001261984517
212,1,3,2,1,6,18,747952128,0.001177852215
213,1,3,2,2,5,19,217147392,0.000341957095
214,1,3,2,3,4,20,22619520,0.000035620531
215,1,3,2,4,3,21,685440,0.000001079410
216,1,3,3,0,6,19,124658688,0.000196308703
217,1,3,3,1,5,20,96509952,0.000151980931
218,1,3,3,2,4,21,22619520,0.000035620531
219,1,3,3,3,3,22,1827840,0.000002878427
220,1,3,3,4,2,23,40320,0.000000063495
221,1,3,4,0,5,21,6031872,0.000009498808
222,1,3,4,1,4,22,3769920,0.000005936755
223,1,3,4,2,3,23,685440,0.000001079410
224,1,3,4,3,2,24,40320,0.000000063495
225,1,3,4,4,1,25,576,0.000000000907
226,1,4,0,0,8,16,121041360,0.000190612245
227,1,4,0,1,7,17,133562880,0.000210330753
228,1,4,0,2,6,18,46747008,0.000073615763
229,1,4,0,3,5,19,6031872,0.000009498808
230,1,4,0,4,4,20,235620,0.000000371047
231,1,4,1,0,7,18,133562880,0.000210330753
232,1,4,1,1,6,19,124658688,0.000196308703
233,1,4,1,2,5,20,36191232,0.000056992849
234,1,4,1,3,4,21,3769920,0.000005936755
235,1,4,1,4,3,22,114240,0.000000179902
236,1,4,2,0,6,20,46747008,0.000073615763
237,1,4,2,1,5,21,36191232,0.000056992849
238,1,4,2,2,4,22,8482320,0.000013357699
239,1,4,2,3,3,23,685440,0.000001079410
240,1,4,2,4,2,24,15120,0.000000023811
241,1,4,3,0,5,22,6031872,0.000009498808
242,1,4,3,1,4,23,3769920,0.000005936755
243,1,4,3,2,3,24,685440,0.000001079410
244,1,4,3,3,2,25,40320,0.000000063495
245,1,4,3,4,1,26,576,0.000000000907
246,1,4,4,0,4,24,235620,0.000000371047
247,1,4,4,1,3,25,114240,0.000000179902
248,1,4,4,2,2,26,15120,0.000000023811
249,1,4,4,3,1,27,576,0.000000000907
250,1,4,4,4,0,28,4,0.000000000006
251,2,0,0,0,11,8,3604831776,0.005676779214
252,2,0,0,1,10,9,6100484544,0.009606857132
253,2,0,0,2,9,10,3389158080,0.005337142851
254,2,0,0,3,8,11,726248160,0.001143673468
255,2,0,0,4,7,12,50086080,0.000078874032
256,2,0,1,0,10,10,6100484544,0.009606857132
257,2,0,1,1,9,11,9037754880,0.014232380936
258,2,0,1,2,8,12,4357488960,0.006862040809
259,2,0,1,3,7,13,801377280,0.001261984517
260,2,0,1,4,6,14,46747008,0.000073615763
261,2,0,2,0,9,12,3389158080,0.005337142851
262,2,0,2,1,8,13,4357488960,0.006862040809
263,2,0,2,2,7,14,1803098880,0.002839465162
264,2,0,2,3,6,15,280482048,0.000441694581
265,2,0,2,4,5,16,13571712,0.000021372318
266,2,0,3,0,8,14,726248160,0.001143673468
267,2,0,3,1,7,15,801377280,0.001261984517
268,2,0,3,2,6,16,280482048,0.000441694581
269,2,0,3,3,5,17,36191232,0.000056992849
270,2,0,3,4,4,18,1413720,0.000002226283
271,2,0,4,0,7,16,50086080,0.000078874032
272,2,0,4,1,6,17,46747008,0.000073615763
273,2,0,4,2,5,18,13571712,0.000021372318
274,2,0,4,3,4,19,1413720,0.000002226283
275,2,0,4,4,3,20,42840,0.000000067463
276,2,1,0,0,10,11,6100484544,0.009606857132
277,2,1,0,1,9,12,9037754880,0.014232380936
278,2,1,0,2,8,13,4357488960,0.006862040809
279,2,1,0,3,7,14,801377280,0.001261984517
280,2,1,0,4,6,15,46747008,0.000073615763
281,2,1,1,0,9,13,9037754880,0.014232380936
282,2,1,1,1,8,14,11619970560,0.018298775490
283,2,1,1,2,7,15,4808263680,0.007571907099
284,2,1,1,3,6,16,747952128,0.001177852215
285,2,1,1,4,5,17,36191232,0.000056992849
286,2,1,2,0,8,15,4357488960,0.006862040809
287,2,1,2,1,7,16,4808263680,0.007571907099
288,2,1,2,2,6,17,1682892288,0.002650167485
289,2,1,2,3,5,18,217147392,0.000341957095
290,2,1,2,4,4,19,8482320,0.000013357699
291,2,1,3,0,7,17,801377280,0.001261984517
292,2,1,3,1,6,18,747952128,0.001177852215
293,2,1,3,2,5,19,217147392,0.000341957095
294,2,1,3,3,4,20,22619520,0.000035620531
295,2,1,3,4,3,21,685440,0.000001079410
296,2,1,4,0,6,19,46747008,0.000073615763
297,2,1,4,1,5,20,36191232,0.000056992849
298,2,1,4,2,4,21,8482320,0.000013357699
299,2,1,4,3,3,22,685440,0.000001079410
300,2,1,4,4,2,23,15120,0.000000023811
301,2,2,0,0,9,14,3389158080,0.005337142851
302,2,2,0,1,8,15,4357488960,0.006862040809
303,2,2,0,2,7,16,1803098880,0.002839465162
304,2,2,0,3,6,17,280482048,0.000441694581
305,2,2,0,4,5,18,13571712,0.000021372318
306,2,2,1,0,8,16,4357488960,0.006862040809
307,2,2,1,1,7,17,4808263680,0.007571907099
308,2,2,1,2,6,18,1682892288,0.002650167485
309,2,2,1,3,5,19,217147392,0.000341957095
310,2,2,1,4,4,20,8482320,0.000013357699
311,2,2,2,0,7,18,1803098880,0.002839465162
312,2,2,2,1,6,19,1682892288,0.002650167485
313,2,2,2,2,5,20,488581632,0.000769403463
314,2,2,2,3,4,21,50893920,0.000080146194
315,2,2,2,4,3,22,1542240,0.000002428673
316,2,2,3,0,6,20,280482048,0.000441694581
317,2,2,3,1,5,21,217147392,0.000341957095
318,2,2,3,2,4,22,50893920,0.000080146194
319,2,2,3,3,3,23,4112640,0.000006476460
320,2,2,3,4,2,24,90720,0.000000142863
321,2,2,4,0,5,22,13571712,0.000021372318
322,2,2,4,1,4,23,8482320,0.000013357699
323,2,2,4,2,3,24,1542240,0.000002428673
324,2,2,4,3,2,25,90720,0.000000142863
325,2,2,4,4,1,26,1296,0.000000002041
326,2,3,0,0,8,17,726248160,0.001143673468
327,2,3,0,1,7,18,801377280,0.001261984517
328,2,3,0,2,6,19,280482048,0.000441694581
329,2,3,0,3,5,20,36191232,0.000056992849
330,2,3,0,4,4,21,1413720,0.000002226283
331,2,3,1,0,7,19,801377280,0.001261984517
332,2,3,1,1,6,20,747952128,0.001177852215
333,2,3,1,2,5,21,217147392,0.000341957095
334,2,3,1,3,4,22,22619520,0.000035620531
335,2,3,1,4,3,23,685440,0.000001079410
336,2,3,2,0,6,21,280482048,0.000441694581
337,2,3,2,1,5,22,217147392,0.000341957095
338,2,3,2,2,4,23,50893920,0.000080146194
339,2,3,2,3,3,24,4112640,0.000006476460
340,2,3,2,4,2,25,90720,0.000000142863
341,2,3,3,0,5,23,36191232,0.000056992849
342,2,3,3,1,4,24,22619520,0.000035620531
343,2,3,3,2,3,25,4112640,0.000006476460
344,2,3,3,3,2,26,241920,0.000000380968
345,2,3,3,4,1,27,3456,0.000000005442
346,2,3,4,0,4,25,1413720,0.000002226283
347,2,3,4,1,3,26,685440,0.000001079410
348,2,3,4,2,2,27,90720,0.000000142863
349,2,3,4,3,1,28,3456,0.000000005442
350,2,3,4,4,0,29,24,0.000000000038
351,2,4,0,0,7,20,50086080,0.000078874032
352,2,4,0,1,6,21,46747008,0.000073615763
353,2,4,0,2,5,22,13571712,0.000021372318
354,2,4,0,3,4,23,1413720,0.000002226283
355,2,4,0,4,3,24,42840,0.000000067463
356,2,4,1,0,6,22,46747008,0.000073615763
357,2,4,1,1,5,23,36191232,0.000056992849
358,2,4,1,2,4,24,8482320,0.000013357699
359,2,4,1,3,3,25,685440,0.000001079410
360,2,4,1,4,2,26,15120,0.000000023811
361,2,4,2,0,5,24,13571712,0.000021372318
362,2,4,2,1,4,25,8482320,0.000013357699
363,2,4,2,2,3,26,1542240,0.000002428673
364,2,4,2,3,2,27,90720,0.000000142863
365,2,4,2,4,1,28,1296,0.000000002041
366,2,4,3,0,4,26,1413720,0.000002226283
367,2,4,3,1,3,27,685440,0.000001079410
368,2,4,3,2,2,28,90720,0.000000142863
369,2,4,3,3,1,29,3456,0.000000005442
370,2,4,3,4,0,30,24,0.000000000038
371,2,4,4,0,3,28,42840,0.000000067463
372,2,4,4,1,2,29,15120,0.000000023811
373,2,4,4,2,1,30,1296,0.000000002041
374,2,4,4,3,0,31,24,0.000000000038
375,3,0,0,0,10,12,1016747424,0.001601142855
376,3,0,0,1,9,13,1506292480,0.002372063489
377,3,0,0,2,8,14,726248160,0.001143673468
378,3,0,0,3,7,15,133562880,0.000210330753
379,3,0,0,4,6,16,7791168,0.000012269294
380,3,0,1,0,9,14,1506292480,0.002372063489
381,3,0,1,1,8,15,1936661760,0.003049795915
382,3,0,1,2,7,16,801377280,0.001261984517
383,3,0,1,3,6,17,124658688,0.000196308703
384,3,0,1,4,5,18,6031872,0.000009498808
385,3,0,2,0,8,16,726248160,0.001143673468
386,3,0,2,1,7,17,801377280,0.001261984517
387,3,0,2,2,6,18,280482048,0.000441694581
388,3,0,2,3,5,19,36191232,0.000056992849
389,3,0,2,4,4,20,1413720,0.000002226283
390,3,0,3,0,7,18,133562880,0.000210330753
391,3,0,3,1,6,19,124658688,0.000196308703
392,3,0,3,2,5,20,36191232,0.000056992849
393,3,0,3,3,4,21,3769920,0.000005936755
394,3,0,3,4,3,22,114240,0.000000179902
395,3,0,4,0,6,20,7791168,0.000012269294
396,3,0,4,1,5,21,6031872,0.000009498808
397,3,0,4,2,4,22,1413720,0.000002226283
398,3,0,4,3,3,23,114240,0.000000179902
399,3,0,4,4,2,24,2520,0.000000003968
400,3,1,0,0,9,15,1506292480,0.002372063489
401,3,1,0,1,8,16,1936661760,0.003049795915
402,3,1,0,2,7,17,801377280,0.001261984517
403,3,1,0,3,6,18,124658688,0.000196308703
404,3,1,0,4,5,19,6031872,0.000009498808
405,3,1,1,0,8,17,1936661760,0.003049795915
406,3,1,1,1,7,18,2137006080,0.003365292044
407,3,1,1,2,6,19,747952128,0.001177852215
408,3,1,1,3,5,20,96509952,0.000151980931
409,3,1,1,4,4,21,3769920,0.000005936755
410,3,1,2,0,7,19,801377280,0.001261984517
411,3,1,2,1,6,20,747952128,0.001177852215
412,3,1,2,2,5,21,217147392,0.000341957095
413,3,1,2,3,4,22,22619520,0.000035620531
414,3,1,2,4,3,23,685440,0.000001079410
415,3,1,3,0,6,21,124658688,0.000196308703
416,3,1,3,1,5,22,96509952,0.000151980931
417,3,1,3,2,4,23,22619520,0.000035620531
418,3,1,3,3,3,24,1827840,0.000002878427
419,3,1,3,4,2,25,40320,0.000000063495
420,3,1,4,0,5,23,6031872,0.000009498808
421,3,1,4,1,4,24,3769920,0.000005936755
422,3,1,4,2,3,25,685440,0.000001079410
423,3,1,4,3,2,26,40320,0.000000063495
424,3,1,4,4,1,27,576,0.000000000907
425,3,2,0,0,8,18,726248160,0.001143673468
426,3,2,0,1,7,19,801377280,0.001261984517
427,3,2,0,2,6,20,280482048,0.000441694581
428,3,2,0,3,5,21,36191232,0.000056992849
429,3,2,0,4,4,22,1413720,0.000002226283
430,3,2,1,0,7,20,801377280,0.001261984517
431,3,2,1,1,6,21,747952128,0.001177852215
432,3,2,1,2,5,22,217147392,0.000341957095
433,3,2,1,3,4,23,22619520,0.000035620531
434,3,2,1,4,3,24,685440,0.000001079410
435,3,2,2,0,6,22,280482048,0.000441694581
436,3,2,2,1,5,23,217147392,0.000341957095
437,3,2,2,2,4,24,50893920,0.000080146194
438,3,2,2,3,3,25,4112640,0.000006476460
439,3,2,2,4,2,26,90720,0.000000142863
440,3,2,3,0,5,24,36191232,0.000056992849
441,3,2,3,1,4,25,22619520,0.000035620531
442,3,2,3,2,3,26,4112640,0.000006476460
443,3,2,3,3,2,27,241920,0.000000380968
444,3,2,3,4,1,28,3456,0.000000005442
445,3,2,4,0,4,26,1413720,0.000002226283
446,3,2,4,1,3,27,685440,0.000001079410
447,3,2,4,2,2,28,90720,0.000000142863
448,3,2,4,3,1,29,3456,0.000000005442
449,3,2,4,4,0,30,24,0.000000000038
450,3,3,0,0,7,21,133562880,0.000210330753
451,3,3,0,1,6,22,124658688,0.000196308703
452,3,3,0,2,5,23,36191232,0.000056992849
453,3,3,0,3,4,24,3769920,0.000005936755
454,3,3,0,4,3,25,114240,0.000000179902
455,3,3,1,0,6,23,124658688,0.000196308703
456,3,3,1,1,5,24,96509952,0.000151980931
457,3,3,1,2,4,25,22619520,0.000035620531
458,3,3,1,3,3,26,1827840,0.000002878427
459,3,3,1,4,2,27,40320,0.000000063495
460,3,3,2,0,5,25,36191232,0.000056992849
461,3,3,2,1,4,26,22619520,0.000035620531
462,3,3,2,2,3,27,4112640,0.000006476460
463,3,3,2,3,2,28,241920,0.000000380968
464,3,3,2,4,1,29,3456,0.000000005442
465,3,3,3,0,4,27,3769920,0.000005936755
466,3,3,3,1,3,28,1827840,0.000002878427
467,3,3,3,2,2,29,241920,0.000000380968
468,3,3,3,3,1,30,9216,0.000000014513
469,3,3,3,4,0,31,64,0.000000000101
470,3,3,4,0,3,29,114240,0.000000179902
471,3,3,4,1,2,30,40320,0.000000063495
472,3,3,4,2,1,31,3456,0.000000005442
473,3,3,4,3,0,32,64,0.000000000101
474,3,4,0,0,6,24,7791168,0.000012269294
475,3,4,0,1,5,25,6031872,0.000009498808
476,3,4,0,2,4,26,1413720,0.000002226283
477,3,4,0,3,3,27,114240,0.000000179902
478,3,4,0,4,2,28,2520,0.000000003968
479,3,4,1,0,5,26,6031872,0.000009498808
480,3,4,1,1,4,27,3769920,0.000005936755
481,3,4,1,2,3,28,685440,0.000001079410
482,3,4,1,3,2,29,40320,0.000000063495
483,3,4,1,4,1,30,576,0.000000000907
484,3,4,2,0,4,28,1413720,0.000002226283
485,3,4,2,1,3,29,685440,0.000001079410
486,3,4,2,2,2,30,90720,0.000000142863
487,3,4,2,3,1,31,3456,0.000000005442
488,3,4,2,4,0,32,24,0.000000000038
489,3,4,3,0,3,30,114240,0.000000179902
490,3,4,3,1,2,31,40320,0.000000063495
491,3,4,3,2,1,32,3456,0.000000005442
492,3,4,3,3,0,33,64,0.000000000101
493,3,4,4,0,2,32,2520,0.000000003968
494,3,4,4,1,1,33,576,0.000000000907
495,3,4,4,2,0,34,24,0.000000000038
496,4,0,0,0,9,16,94143280,0.000148253968
497,4,0,0,1,8,17,121041360,0.000190612245
498,4,0,0,2,7,18,50086080,0.000078874032
499,4,0,0,3,6,19,7791168,0.000012269294
500,4,0,0,4,5,20,376992,0.000000593676
501,4,0,1,0,8,18,121041360,0.000190612245
502,4,0,1,1,7,19,133562880,0.000210330753
503,4,0,1,2,6,20,46747008,0.000073615763
504,4,0,1,3,5,21,6031872,0.000009498808
505,4,0,1,4,4,22,235620,0.000000371047
506,4,0,2,0,7,20,50086080,0.000078874032
507,4,0,2,1,6,21,46747008,0.000073615763
508,4,0,2,2,5,22,13571712,0.000021372318
